phrase,word
play the music Peaches,Peaches
"Joseh, I want to open ZenTerminal",ZenTerminal
"hey Joseh, play Industry Baby for me",Industry Baby
would you open VLC for me?,VLC
play Lose Yourself please,Lose Yourself
I need you to open EchoPlayer,EchoPlayer
Joseh play Watermelon Sugar,Watermelon Sugar
Joseh play Chrome Hearts,Chrome Hearts
I need you to open Notepad++,Notepad++
Joseh open Notion,Notion
"Joseh, put on Fading Light",Fading Light
Joseh play Fading Light,Fading Light
Joseh please launch NightOwl IDE,NightOwl IDE
Joseh start Inkscape,Inkscape
"Joseh, pull up Discord",Discord
"hey, put on Lose Yourself",Lose Yourself
open SkyDash please,SkyDash
play Electric Bloom right now,Electric Bloom
Joseh play me Last Orbit,Last Orbit
"Joseh, launch OrbitView for me",OrbitView
I'd like to hear Frozen Tide,Frozen Tide
open up Steam,Steam
Joseh start Notepad++,Notepad++
open up VLC,VLC
could you play Frozen Tide?,Frozen Tide
open Telegram please,Telegram
pull up NeonEdit for me,NeonEdit
I want to listen to Sunflower,Sunflower
"hey Joseh, play Peaches for me",Peaches
"hey Joseh, play Old Town Road for me",Old Town Road
"hey, open PulseChat",PulseChat
play Crystal Cave right now,Crystal Cave
"Joseh, play the song Rockstar",Rockstar
would you open ArcLauncher for me?,ArcLauncher
open Figma please,Figma
"Joseh, queue up Chrome Hearts",Chrome Hearts
please play Hotel California,Hotel California
"Hey Joseh, can you open KeePass?",KeePass
I want to listen to Signal Lost,Signal Lost
Joseh start SwiftNotes,SwiftNotes
Joseh start Postman,Postman
put on Industry Baby,Industry Baby
please play Solar Drift,Solar Drift
play the music Blueberry Faygo,Blueberry Faygo
pull up Telegram for me,Telegram
Joseh start FileZilla,FileZilla
launch Telegram,Telegram
start Steam,Steam
"Joseh, launch Discord for me",Discord
"Joseh, queue up Red Noise",Red Noise
"hey Joseh, play Rockstar for me",Rockstar
Joseh open TaskMaster,TaskMaster
Joseh open DataVault,DataVault
please play Sweet Child O' Mine,Sweet Child O' Mine
please open OrbitView,OrbitView
"Joseh, I want to open IronVault",IronVault
go ahead and open FileZilla,FileZilla
Joseh play me Shape of You,Shape of You
launch OBS Studio,OBS Studio
"Joseh, queue up Crystal Cave",Crystal Cave
would you open Discord for me?,Discord
"Joseh, play Digital Rain",Digital Rain
start Postman,Postman
I need you to open VoxTerminal,VoxTerminal
can you play Sweet Child O' Mine?,Sweet Child O' Mine
"Hey Joseh, can you open IntelliJ?",IntelliJ
"Joseh, I want to hear Blinding Lights",Blinding Lights
"hey, open Zoom",Zoom
play Paper Wings please,Paper Wings
"Joseh, queue up Sunflower",Sunflower
"hey, put on Billie Jean",Billie Jean
could you play Sweet Child O' Mine?,Sweet Child O' Mine
Joseh play Electric Bloom,Electric Bloom
"Joseh, start playing Blinding Lights",Blinding Lights
"hey, put on Rockstar",Rockstar
start EchoPlayer,EchoPlayer
play God's Plan please,God's Plan
Joseh open Telegram,Telegram
could you open DataVault?,DataVault
open up Wireshark,Wireshark
launch StellarSync,StellarSync
can you play Last Orbit?,Last Orbit
Joseh start GridMapper,GridMapper
"hey, put on Dark Matter",Dark Matter
"Joseh, open CodeNest for me",CodeNest
I want to listen to Red Noise,Red Noise
launch GIMP,GIMP
Joseh open Brave,Brave
"Hey Joseh, can you open FlowBoard?",FlowBoard
"Joseh, queue up Smells Like Teen Spirit",Smells Like Teen Spirit
go ahead and open EchoPlayer,EchoPlayer
play Peaches please,Peaches
I need you to open Figma,Figma
"Joseh, put on Watermelon Sugar",Watermelon Sugar
"Joseh, play Silent Code",Silent Code
"Joseh, I want to open NightOwl IDE",NightOwl IDE
I'd like to hear Electric Bloom,Electric Bloom
"Joseh, start playing Billie Jean",Billie Jean
Joseh please launch WhatsApp,WhatsApp
please open NovaBrowser,NovaBrowser
can you start OBS Studio please?,OBS Studio
could you open PyCharm?,PyCharm
"Joseh, launch Thunderbird for me",Thunderbird
Joseh play me Hollow Echo,Hollow Echo
launch PixelForge,PixelForge
Joseh please launch FlowBoard,FlowBoard
can you start Inkscape please?,Inkscape
play Sunflower please,Sunflower
"Joseh, play the song Blueberry Faygo",Blueberry Faygo
"hey, open CodeNest",CodeNest
"hey Joseh, play As It Was for me",As It Was
"Hey Joseh, can you open Figma?",Figma
start playing Bad Guy please,Bad Guy
I want to listen to Bad Guy,Bad Guy
play Fading Light right now,Fading Light
would you open TaskMaster for me?,TaskMaster
Joseh play As It Was,As It Was
open up Brave,Brave
could you open Firefox?,Firefox
"Joseh, I want to hear As It Was",As It Was
Joseh open ArcLauncher,ArcLauncher
please open Slack,Slack
put on Frozen Tide,Frozen Tide
Joseh play me Neon Shadows,Neon Shadows
"Joseh, put on Void Walker",Void Walker
can you start Discord please?,Discord
open VLC please,VLC
"hey, open CloudSync Pro",CloudSync Pro
would you open GridMapper for me?,GridMapper
I'd like to hear Last Orbit,Last Orbit
Joseh start NovaBrowser,NovaBrowser
"Joseh, play the song Circles",Circles
would you open Telegram for me?,Telegram
"Hey Joseh, can you open StellarSync?",StellarSync
"Joseh, start playing Iron Sky",Iron Sky
"Joseh, open PulseChat for me",PulseChat
"hey Joseh, play Digital Rain for me",Digital Rain
play the music Blueberry Faygo,Blueberry Faygo
go ahead and open Slack,Slack
Joseh please launch Zoom,Zoom
launch Discord,Discord
"Joseh, play Blueberry Faygo",Blueberry Faygo
Joseh play Last Orbit,Last Orbit
could you play Bad Guy?,Bad Guy
play Digital Rain right now,Digital Rain
would you open Notepad++ for me?,Notepad++
"Joseh, start playing Electric Bloom",Electric Bloom
"Joseh, pull up OrbitView",OrbitView
"hey, open WhatsApp",WhatsApp
can you start CloudSync Pro please?,CloudSync Pro
"Joseh, play Watermelon Sugar",Watermelon Sugar
"Joseh, I want to open Notepad++",Notepad++
start playing Industry Baby please,Industry Baby
start StellarSync,StellarSync
"hey Joseh, play Ghost Frequency for me",Ghost Frequency
play the music Midnight Drive,Midnight Drive
"Joseh, pull up SwiftNotes",SwiftNotes
"Joseh, I want to open PulseChat",PulseChat
"Joseh, I want to hear Silent Code",Silent Code
please open Blender,Blender
"Joseh, launch Blender for me",Blender
open up Steam,Steam
start Slack,Slack
"Joseh, I want to open KeePass",KeePass
I want to listen to Smells Like Teen Spirit,Smells Like Teen Spirit
play Static Pulse right now,Static Pulse
"Hey Joseh, can you open Wireshark?",Wireshark
I need you to open SkyDash,SkyDash
play the music Bohemian Rhapsody,Bohemian Rhapsody
play Blueberry Faygo right now,Blueberry Faygo
"Joseh, play Broken Signal",Broken Signal
Joseh play As It Was,As It Was
start playing Parallel Lines please,Parallel Lines
"Joseh, start playing Circles",Circles
can you play Velvet Storm?,Velvet Storm
go ahead and open Blender,Blender
"Joseh, play Watermelon Sugar",Watermelon Sugar
"hey Joseh, play Last Orbit for me",Last Orbit
would you open Slack for me?,Slack
"Joseh, launch VLC for me",VLC
I'd like to hear Frozen Tide,Frozen Tide
"Joseh, play the song Stairway to Heaven",Stairway to Heaven
"Joseh, put on Smells Like Teen Spirit",Smells Like Teen Spirit
start playing Red Noise please,Red Noise
Joseh please launch Discord,Discord
play Broken Signal right now,Broken Signal
"hey Joseh, play Velvet Storm for me",Velvet Storm
could you play Parallel Lines?,Parallel Lines
start playing Hotel California please,Hotel California
would you open VLC for me?,VLC
"Hey Joseh, can you open Notepad++?",Notepad++
please open Slack,Slack
play the music Solar Drift,Solar Drift
pull up NightOwl IDE for me,NightOwl IDE
"Hey Joseh, can you open DataVault?",DataVault
put on Solar Drift,Solar Drift
could you open Brave?,Brave
Joseh play me Heat Waves,Heat Waves
"Joseh, play the song Smells Like Teen Spirit",Smells Like Teen Spirit
start IntelliJ,IntelliJ
"hey Joseh, play good 4 u for me",good 4 u
can you play Dark Matter?,Dark Matter
could you open OrbitView?,OrbitView
"Joseh, put on good 4 u",good 4 u
can you start Brave please?,Brave
can you start OBS Studio please?,OBS Studio
could you play Iron Sky?,Iron Sky
open up StellarSync,StellarSync
"Joseh, launch IntelliJ for me",IntelliJ
"Joseh, play the song Digital Rain",Digital Rain
put on Velvet Storm,Velvet Storm
"hey, open IronVault",IronVault
"Hey Joseh, can you open Discord?",Discord
"hey, put on Rockstar",Rockstar
"Joseh, I want to open VoxTerminal",VoxTerminal
open up Wireshark,Wireshark
"Hey Joseh, can you open TaskMaster?",TaskMaster
"hey, open LibreOffice",LibreOffice
start playing Crystal Cave please,Crystal Cave
"Joseh, launch Wireshark for me",Wireshark
play the music Blinding Lights,Blinding Lights
can you play Fading Light?,Fading Light
"Joseh, pull up Notion",Notion
would you open Figma for me?,Figma
I'd like to hear Last Orbit,Last Orbit
Joseh start IntelliJ,IntelliJ
could you play Velvet Storm?,Velvet Storm
can you play Midnight Drive?,Midnight Drive
pull up ArcLauncher for me,ArcLauncher
"Hey Joseh, can you open Blender?",Blender
"Joseh, play the song Sweet Child O' Mine",Sweet Child O' Mine
"Joseh, open StellarSync for me",StellarSync
"Joseh, I want to hear Neon Shadows",Neon Shadows
put on Frozen Tide,Frozen Tide
start Blender,Blender
"Joseh, play the song Silent Code",Silent Code
open Notepad++ please,Notepad++
pull up PyCharm for me,PyCharm
"Joseh, I want to open Steam",Steam
start NightOwl IDE,NightOwl IDE
start VoxTerminal,VoxTerminal
I need you to open Blender,Blender
"Joseh, put on Silent Code",Silent Code
Joseh play me Signal Lost,Signal Lost
could you play Lose Yourself?,Lose Yourself
play Chrome Hearts right now,Chrome Hearts
"Hey Joseh, can you open Firefox?",Firefox
"Joseh, put on Broken Signal",Broken Signal
"Joseh, I want to hear Digital Rain",Digital Rain
