phrase,intent
put on Take On Me by Rihanna,play_music
put on Wrecking Ball by Imagine Dragons,play_music
put on Firework by Coldplay,play_music
play something for studying,play_music
play Thunder,play_music
play Perfect,play_music
play some electronic music,play_music
put on Someone Like You by Ariana Grande,play_music
put on Sugar by Adele,play_music
play Sorry,play_music
put on Vampire by Bruno Mars,play_music
start a workout playlist,play_music
put on Roar by Bruno Mars,play_music
play Anti-Hero,play_music
put on Believer by Adele,play_music
put on Havana by Taylor Swift,play_music
play Titanium,play_music
put on a road trip playlist,play_music
play Radioactive,play_music
put on Symphony by Drake,play_music
play Someone Like You,play_music
put on Closer by Sia,play_music
play Believer,play_music
play Vampire,play_music
play Symphony,play_music
put on something mellow,play_music
play Faded,play_music
play Shivers,play_music
play Levitating,play_music
put on Sorry by Calvin Harris,play_music
put on Thunder by Calvin Harris,play_music
play Cheap Thrills,play_music
put on Anti-Hero by Dua Lipa,play_music
put on Levitating by Ed Sheeran,play_music
play Stay With Me,play_music
start playing pop music,play_music
play Counting Stars,play_music
play some jazz,play_music
play Firework,play_music
put on Titanium by Imagine Dragons,play_music
play Closer,play_music
can you start Docker Desktop,open_program
open Telegram,open_program
can you start Telegram,open_program
open Photoshop,open_program
open PyCharm,open_program
open Emacs,open_program
can you start Signal,open_program
open Atom,open_program
launch Terminal please,open_program
can you start Firefox,open_program
can you start Sublime Text,open_program
can you start Krita,open_program
launch GitHub Desktop please,open_program
open OBS,open_program
can you start Terminal,open_program
launch Excel please,open_program
open Firefox,open_program
launch Firefox please,open_program
open Zoom,open_program
can you start Photoshop,open_program
can you start Spotify,open_program
open Thunderbird,open_program
launch OBS please,open_program
launch Docker Desktop please,open_program
launch Sublime Text please,open_program
launch Android Studio please,open_program
launch GitKraken please,open_program
launch Audacity please,open_program
launch NetBeans please,open_program
open VLC,open_program
open GitKraken,open_program
can you start Nautilus,open_program
open Krita,open_program
can you start OBS,open_program
launch Nautilus please,open_program
can you start Kdenlive,open_program
open Discord,open_program
can you start PowerPoint,open_program
open VS Code,open_program
open Android Studio,open_program
launch Thunderbird please,open_program
can you start Notion,open_program
can you start GIMP,open_program
open Chrome,open_program
open Word,open_program
open Nautilus,open_program
launch VS Code please,open_program
launch Chrome please,open_program
launch Blender please,open_program
open Notion,open_program
can you install virt-manager,install_program
can you install libreoffice,install_program
I need mangohud installed,install_program
please install musescore for me,install_program
can you install jupyter,install_program
can you install calibre,install_program
set up qbittorrent for me,install_program
install krita,install_program
install jdk-openjdk,install_program
add pandoc to my system,install_program
I need calibre installed,install_program
add ansible to my system,install_program
I need signal-desktop installed,install_program
set up thunderbird for me,install_program
please install neofetch for me,install_program
get git installed on my system,install_program
install make,install_program
I need blender installed,install_program
can you install rsync,install_program
get nodejs installed on my system,install_program
set up ansible for me,install_program
get ncdu installed on my system,install_program
set up cmake for me,install_program
add flatpak to my system,install_program
get vlc installed on my system,install_program
get wireshark installed on my system,install_program
set up maven for me,install_program
install libreoffice,install_program
set up gcc for me,install_program
get docker installed on my system,install_program
add mpv to my system,install_program
get imagemagick installed on my system,install_program
get zoom installed on my system,install_program
I need firefox installed,install_program
get bat installed on my system,install_program
please install transmission for me,install_program
add handbrake to my system,install_program
install nodejs,install_program
get ranger installed on my system,install_program
install tcpdump,install_program
set up mpv for me,install_program
install wine,install_program
can you install openssh,install_program
I need ffmpeg installed,install_program
I need wget installed,install_program
get thunderbird installed on my system,install_program
can you install vim,install_program
install timeshift,install_program
install mangohud,install_program
please install python for me,install_program
add okular to my system,install_program
get handbrake installed on my system,install_program
add unzip to my system,install_program
I need htop installed,install_program
I need nmap installed,install_program
set up redis for me,install_program
install jupyter,install_program
install p7zip,install_program
please install discord for me,install_program
can you install hugo,install_program
add nmap to my system,install_program
please install calibre for me,install_program
add tcpdump to my system,install_program
I need musescore installed,install_program
install mariadb,install_program
add yarn to my system,install_program
please install filezilla for me,install_program
install qbittorrent,install_program
please install rsync for me,install_program
please install firefox for me,install_program
add audacity to my system,install_program
get vim installed on my system,install_program
can you install terraform,install_program
install lutris,install_program
get blender installed on my system,install_program
install clang,install_program
install wget,install_program
set up docker for me,install_program
please install telegram for me,install_program
add timeshift to my system,install_program
I need virtualbox installed,install_program
get tree installed on my system,install_program
get python installed on my system,install_program
get fd installed on my system,install_program
set up fd for me,install_program
please install snapd for me,install_program
install fd,install_program
can you install nginx,install_program
I need ncdu installed,install_program
set up ffmpeg for me,install_program
install rsync,install_program
add calibre to my system,install_program
get signal-desktop installed on my system,install_program
get nmap installed on my system,install_program
install curl,install_program
please install rustup for me,install_program
add nginx to my system,install_program
add gnome-tweaks to my system,install_program
I need git installed,install_program
please install handbrake for me,install_program
please install zsh for me,install_program
set up postman for me,install_program
I need filezilla installed,install_program
set up gradle for me,install_program
I need ripgrep installed,install_program
install htop,install_program
can you install tmux,install_program
I need zoom installed,install_program
can you install gnome-tweaks,install_program
can you install kdenlive,install_program
install snapd,install_program
set up wine for me,install_program
add gradle to my system,install_program
can you install handbrake,install_program
get snapd installed on my system,install_program
set up inkscape for me,install_program
please install steam for me,install_program
install calibre,install_program
I need tcpdump installed,install_program
get libreoffice installed on my system,install_program
install rustup,install_program
please install fd for me,install_program
please install gcc for me,install_program
get tcpdump installed on my system,install_program
please install obs-studio for me,install_program
set up rustup for me,install_program
install mpv,install_program
add jupyter to my system,install_program
I need flatpak installed,install_program
I need vim installed,install_program
add nodejs to my system,install_program
get ansible installed on my system,install_program
get calibre installed on my system,install_program
install npm,install_program
get wine installed on my system,install_program
set up zathura for me,install_program
add wget to my system,install_program
please install redis for me,install_program
please install valgrind for me,install_program
install ardour,install_program
add krita to my system,install_program
I need qemu installed,install_program
get hugo installed on my system,install_program
please install postman for me,install_program
get gimp installed on my system,install_program
please install bat for me,install_program
install unzip,install_program
can you install qbittorrent,install_program
can you install wget,install_program
I need gparted installed,install_program
can you install signal-desktop,install_program
please install maven for me,install_program
I need python installed,install_program
can you install make,install_program
can you install ardour,install_program
