phrase,word,label
"Joseh, queue up Smells Like Teen Spirit",Smells Like Teen Spirit,music
go ahead and open EchoPlayer,EchoPlayer,program
play Peaches please,Peaches,music
I need you to open Figma,Figma,program
"Joseh, put on Watermelon Sugar",Watermelon Sugar,music
"Joseh, play Silent Code",Silent Code,music
"Joseh, I want to open NightOwl IDE",NightOwl IDE,program
I'd like to hear Electric Bloom,Electric Bloom,music
"Joseh, start playing Billie Jean",Billie Jean,music
Joseh please launch WhatsApp,WhatsApp,program
please open NovaBrowser,NovaBrowser,program
can you start OBS Studio please?,OBS Studio,program
could you open PyCharm?,PyCharm,program
"Joseh, launch Thunderbird for me",Thunderbird,program
Joseh play me Hollow Echo,Hollow Echo,music
launch PixelForge,PixelForge,program
Joseh please launch FlowBoard,FlowBoard,program
can you start Inkscape please?,Inkscape,program
play Sunflower please,Sunflower,music
"Joseh, play the song Blueberry Faygo",Blueberry Faygo,music
"hey, open CodeNest",CodeNest,program
"hey Joseh, play As It Was for me",As It Was,music
"Hey Joseh, can you open Figma?",Figma,program
start playing Bad Guy please,Bad Guy,music
I want to listen to Bad Guy,Bad Guy,music
play Fading Light right now,Fading Light,music
would you open TaskMaster for me?,TaskMaster,program
Joseh play As It Was,As It Was,music
open up Brave,Brave,program
could you open Firefox?,Firefox,program
"Joseh, I want to hear As It Was",As It Was,music
Joseh open ArcLauncher,ArcLauncher,program
please open Slack,Slack,program
put on Frozen Tide,Frozen Tide,music
Joseh play me Neon Shadows,Neon Shadows,music
"Joseh, put on Void Walker",Void Walker,music
can you start Discord please?,Discord,program
open VLC please,VLC,program
"hey, open CloudSync Pro",CloudSync Pro,program
would you open GridMapper for me?,GridMapper,program
I'd like to hear Last Orbit,Last Orbit,music
Joseh start NovaBrowser,NovaBrowser,program
"Joseh, play the song Circles",Circles,music
would you open Telegram for me?,Telegram,program
"Hey Joseh, can you open StellarSync?",StellarSync,program
"Joseh, start playing Iron Sky",Iron Sky,music
"Joseh, open PulseChat for me",PulseChat,program
"hey Joseh, play Digital Rain for me",Digital Rain,music
play the music Blueberry Faygo,Blueberry Faygo,music
go ahead and open Slack,Slack,program
Joseh please launch Zoom,Zoom,program
launch Discord,Discord,program
"Joseh, play Blueberry Faygo",Blueberry Faygo,music
Joseh play Last Orbit,Last Orbit,music
could you play Bad Guy?,Bad Guy,music
play Digital Rain right now,Digital Rain,music
would you open Notepad++ for me?,Notepad++,program
"Joseh, start playing Electric Bloom",Electric Bloom,music
"Joseh, pull up OrbitView",OrbitView,program
"hey, open WhatsApp",WhatsApp,program
can you start CloudSync Pro please?,CloudSync Pro,program
"Joseh, play Watermelon Sugar",Watermelon Sugar,music
"Joseh, I want to open Notepad++",Notepad++,program
start playing Industry Baby please,Industry Baby,music
start StellarSync,StellarSync,program
"hey Joseh, play Ghost Frequency for me",Ghost Frequency,music
play the music Midnight Drive,Midnight Drive,music
"Joseh, pull up SwiftNotes",SwiftNotes,program
"Joseh, I want to open PulseChat",PulseChat,program
"Joseh, I want to hear Silent Code",Silent Code,music
please open Blender,Blender,program
"Joseh, launch Blender for me",Blender,program
open up Steam,Steam,program
start Slack,Slack,program
"Joseh, I want to open KeePass",KeePass,program
I want to listen to Smells Like Teen Spirit,Smells Like Teen Spirit,music
play Static Pulse right now,Static Pulse,music
"Hey Joseh, can you open Wireshark?",Wireshark,program
I need you to open SkyDash,SkyDash,program
play the music Bohemian Rhapsody,Bohemian Rhapsody,music
play Blueberry Faygo right now,Blueberry Faygo,music
"Joseh, play Broken Signal",Broken Signal,music
Joseh play As It Was,As It Was,music
start playing Parallel Lines please,Parallel Lines,music
"Joseh, start playing Circles",Circles,music
can you play Velvet Storm?,Velvet Storm,music
go ahead and open Blender,Blender,program
"Joseh, play Watermelon Sugar",Watermelon Sugar,music
"hey Joseh, play Last Orbit for me",Last Orbit,music
would you open Slack for me?,Slack,program
"Joseh, launch VLC for me",VLC,program
I'd like to hear Frozen Tide,Frozen Tide,music
"Joseh, play the song Stairway to Heaven",Stairway to Heaven,music
"Joseh, put on Smells Like Teen Spirit",Smells Like Teen Spirit,music
start playing Red Noise please,Red Noise,music
Joseh please launch Discord,Discord,program
play Broken Signal right now,Broken Signal,music
"hey Joseh, play Velvet Storm for me",Velvet Storm,music
could you play Parallel Lines?,Parallel Lines,music
start playing Hotel California please,Hotel California,music
would you open VLC for me?,VLC,program
"Hey Joseh, can you open Notepad++?",Notepad++,program
please open Slack,Slack,program
play the music Solar Drift,Solar Drift,music
pull up NightOwl IDE for me,NightOwl IDE,program
"Hey Joseh, can you open DataVault?",DataVault,program
put on Solar Drift,Solar Drift,music
could you open Brave?,Brave,program
Joseh play me Heat Waves,Heat Waves,music
"Joseh, play the song Smells Like Teen Spirit",Smells Like Teen Spirit,music
start IntelliJ,IntelliJ,program
"hey Joseh, play good 4 u for me",good 4 u,music
can you play Dark Matter?,Dark Matter,music
could you open OrbitView?,OrbitView,program
"Joseh, put on good 4 u",good 4 u,music
can you start Brave please?,Brave,program
can you start OBS Studio please?,OBS Studio,program
could you play Iron Sky?,Iron Sky,music
open up StellarSync,StellarSync,program
"Joseh, launch IntelliJ for me",IntelliJ,program
"Joseh, play the song Digital Rain",Digital Rain,music
put on Velvet Storm,Velvet Storm,music
"hey, open IronVault",IronVault,program
"Hey Joseh, can you open Discord?",Discord,program
"hey, put on Rockstar",Rockstar,music
"Joseh, I want to open VoxTerminal",VoxTerminal,program
open up Wireshark,Wireshark,program
"Hey Joseh, can you open TaskMaster?",TaskMaster,program
"hey, open LibreOffice",LibreOffice,program
start playing Crystal Cave please,Crystal Cave,music
"Joseh, launch Wireshark for me",Wireshark,program
play the music Blinding Lights,Blinding Lights,music
can you play Fading Light?,Fading Light,music
"Joseh, pull up Notion",Notion,program
would you open Figma for me?,Figma,program
I'd like to hear Last Orbit,Last Orbit,music
Joseh start IntelliJ,IntelliJ,program
could you play Velvet Storm?,Velvet Storm,music
can you play Midnight Drive?,Midnight Drive,music
pull up ArcLauncher for me,ArcLauncher,program
"Hey Joseh, can you open Blender?",Blender,program
"Joseh, play the song Sweet Child O' Mine",Sweet Child O' Mine,music
"Joseh, open StellarSync for me",StellarSync,program
"Joseh, I want to hear Neon Shadows",Neon Shadows,music
put on Frozen Tide,Frozen Tide,music
start Blender,Blender,program
"Joseh, play the song Silent Code",Silent Code,music
open Notepad++ please,Notepad++,program
pull up PyCharm for me,PyCharm,program
"Joseh, I want to open Steam",Steam,program
start NightOwl IDE,NightOwl IDE,program
start VoxTerminal,VoxTerminal,program
I need you to open Blender,Blender,program
"Joseh, put on Silent Code",Silent Code,music
Joseh play me Signal Lost,Signal Lost,music
could you play Lose Yourself?,Lose Yourself,music
play Chrome Hearts right now,Chrome Hearts,music
"Hey Joseh, can you open Firefox?",Firefox,program
"Joseh, put on Broken Signal",Broken Signal,music
"Joseh, I want to hear Digital Rain",Digital Rain,music
